,minSpeed_action,maxSpeed_action,flick_time,flick_pitch,jump1_pitch,jump1_time,jump2_pitch,jump2_time,iteration,params,result
0,0.0,50.0,0.35,1.0,-1.0,0.05,-0.33333333333333337,0.12000000000000001,,,
1,,,,,,,,,0.0,"{'minSpeed_action': 800, 'maxSpeed_action': 900, 'flick_time': 0.5, 'flick_pitch': 1, 'jump1_pitch': 0, 'jump1_time': 0.05, 'jump2_pitch': -1, 'jump2_time': 0.02}",PASS
0,0.0,50.0,0.35,1.0,-1.0,0.05,-0.33333333333333337,0.12000000000000001,,,
1,,,,,,,,,1.0,"{'minSpeed_action': 0, 'maxSpeed_action': 50, 'flick_time': 0.35, 'flick_pitch': 1.0, 'jump1_pitch': -1.0, 'jump1_time': 0.05, 'jump2_pitch': -0.33333333333333337, 'jump2_time': 0.12000000000000001}",FAIL: Timeout
0,0.0,50.0,0.35,1.0,-1.0,0.05,-0.33333333333333337,0.12000000000000001,,,
1,,,,,,,,,2.0,"{'minSpeed_action': 0, 'maxSpeed_action': 50, 'flick_time': 0.35, 'flick_pitch': 1.0, 'jump1_pitch': -1.0, 'jump1_time': 0.05, 'jump2_pitch': -0.33333333333333337, 'jump2_time': 0.12000000000000001}",FAIL: Timeout
0,700.0,750.0,0.35,0.33333333333333326,0.33333333333333326,0.05,-1.0,0.22,,,
1,,,,,,,,,3.0,"{'minSpeed_action': 0, 'maxSpeed_action': 50, 'flick_time': 0.35, 'flick_pitch': 1.0, 'jump1_pitch': -1.0, 'jump1_time': 0.05, 'jump2_pitch': -0.33333333333333337, 'jump2_time': 0.12000000000000001}",FAIL: Timeout
0,0.0,50.0,0.55,1.0,-1.0,0.05,-1.0,0.02,,,
1,,,,,,,,,4.0,"{'minSpeed_action': 700, 'maxSpeed_action': 750, 'flick_time': 0.35, 'flick_pitch': 0.33333333333333326, 'jump1_pitch': 0.33333333333333326, 'jump1_time': 0.05, 'jump2_pitch': -1.0, 'jump2_time': 0.22}",FAIL: NoTouch
0,700.0,1150.0,0.35,1.0,1.0,0.15000000000000002,0.33333333333333326,0.02,,,
1,,,,,,,,,5.0,"{'minSpeed_action': 0, 'maxSpeed_action': 50, 'flick_time': 0.55, 'flick_pitch': 1.0, 'jump1_pitch': -1.0, 'jump1_time': 0.05, 'jump2_pitch': -1.0, 'jump2_time': 0.02}",FAIL: NoTouch
